序号,代码,名称,市场代码简称,最新价(元) 09:43,涨跌幅(%) 09:43,概念,成份股,基本面分数(分) 截至2026.05.21最新,ST股票,收盘价(日线不复权)(元) 09:43,成交额(元) 09:43,流通市值(元) 2026.05.21,营业收入同比增长率 2025.12.31,营业收入同比增长率 2024.12.31,营业收入同比增长率 2023.12.31,营业收入(元) 2024.12.31,营业收入(元) 2023.12.31,营业收入(元) 2022.12.31,营业收入(元) 2025.12.31,营业总收入(元) 2024.12.31,营业总收入(元) 2023.12.31,营业总收入(元) 2022.12.31,营业总收入(元) 2025.12.31,东财行业总分类,涨跌额(元) 09:43,最高价(元) 09:43,最低价(元) 09:43,换手率(%) 09:43,量比 09:43,成交量(股) 09:43,市盈率(动)(倍) 2026.05.21,市净率(倍) 2026.05.21,总市值(元) 2026.05.21
1,688256,寒武纪,SH,1343.23,-1.41,国产芯片、东数西算、上证180_、AI芯片、HS300_、大盘成长、百日新高 、边缘计算、人工智能、中国AI 50、国产操作系统、MSCI中国、阿里概念、权重股、融资融券、2025年报扭亏、算力概念、近期新高、沪股通、ASIC芯片、半导体概念、先进封装、大盘股、数据中心、上证50_、历史新高 、汽车芯片、阿里系算力,A股指数、上证180、上证50、上证指数、中证800、中证A100、中证A500、国证1000、沪深300、科创50,91.66,否,1343.23,31.74亿,8444.64亿,453.21,65.56,-2.70,11.74亿|2024年报,7.09亿|2023年报,7.29亿|2022年报,64.97亿|2025年报,11.74亿|2024年报,7.09亿|2023年报,7.29亿|2022年报,64.97亿|2025年报,电子-半导体-数字芯片设计,-19.180,1386.00,1323.00,0.37,2.39,234.44万,208.36,68.9987,8444.64亿
2,300502,新易盛,SZ,583.93,-0.69,国产芯片、权重股、5G概念、融资融券、深证100R、西部大开发、深股通、算力概念、贬值受益、光通信模块、深成500、大盘股、通信技术、数据中心、HS300_、大盘成长、CPO概念、创业板综、中国AI 50、富时罗素、2025年报预增、MSCI中国,中证800、中证A500、创业大盘、创业板50、创业板指、创业板综、国证1000、国证科技100指数、新指数、沪深300、深成指R、深证100、深证100R、深证300、深证50、深证成指、深证综指,96.20,否,583.93,34.08亿,5170.07亿,187.29,179.15,-6.43,86.47亿|2024年报,30.98亿|2023年报,33.11亿|2022年报,248.42亿|2025年报,86.47亿|2024年报,30.98亿|2023年报,33.11亿|2022年报,248.42亿|2025年报,通信-通信设备-通信网络设备及器件,-4.040,598.00,581.53,0.65,2.93,579.46万,52.19,28.4823,5804.32亿
3,300476,胜宏科技,SZ,336.87,0.80,国产芯片、粤港澳大湾区、5G概念、周期股、东数西算、深证100R、乡村振兴、AIPC、贬值受益、新能源车、深成500、小米概念、通信技术、HS300_、大盘成长、摩尔链、CPO概念、OLED、富时罗素、富士康概念、2025年报预增、物联网、MSCI中国、机器人概念、AI手机、融资融券、行业龙头、深股通、虚拟现实、大盘股、PCB、数据中心、英伟达概念、光伏概念、人形机器人、智能电网、海峡两岸、创业板综、汽车电子、特斯拉概念,中证800、中证A100、中证A50、中证A500、创业大盘、创业板50、创业板指、创业板综、国证1000、新指数、沪深300、深成指R、深证100、深证100R、深证300、深证50、深证成指、深证综指,87.57,否,336.87,27.94亿,2914.58亿,79.77,35.31,0.58,107.31亿|2024年报,79.31亿|2023年报,78.85亿|2022年报,192.92亿|2025年报,107.31亿|2024年报,79.31亿|2023年报,78.85亿|2022年报,192.92亿|2025年报,电子-元件-印制电路板,2.670,344.30,336.00,0.95,3.02,819.88万,64.24,21.1359,3310.71亿
